Company,Exchange,Ticker,Sample year,Corrected_year,U.S.-listed,gvkey,Short-seller ,Result Name,CIQ ID,Primary Industry,Ticker,Cash and Equivalents,Total Revenues,Net Income,Short Term Investments,Cost Of Revenues,"Depreciation & Amort., Total",Total Cash & ST Investments,Cost Of Goods Sold,Asset Writedown & Restructuring Costs,Accounts Receivable,Gross Profit,Stock-Based Compensation,Total Receivables,Selling General & Admin Exp.,Net Cash From Discontinued Ops.,Inventory,R & D Exp.,Change In Accounts Receivable,Total Current Assets,Depreciation & Amort.,Change In Inventories,"Gross Property, Plant & Equipment",Amort. of Goodwill and Intangibles,Change in Acc. Payable,"Net Property, Plant & Equipment",Operating Income,Change in Unearned Rev.,Long-term Investments,Net Interest Exp.,Change in Inc. Taxes,Total Intangibles,EBT Excl Unusual Items,Change in Def. Taxes,Total Assets,Total Unusual Items,Cash from Ops.,Accounts Payable,EBT Incl Unusual Items,Capital Expenditure,Short-term Borrowings,Income Tax Expense,"Sale of Property, Plant, and Equipment",Current Portion of Long Term Debt,Earnings from Cont. Ops.,Cash Acquisitions,Curr. Port. of Cap. Leases,Earnings of Discontinued Ops.,Divestitures,Total Current Liabilities,Extraord. Item & Account. Change,Sale (Purchase) of Intangible assets,Long-Term Debt,Net Income,Net Cash from Investments,Capital Leases,Pref. Dividends and Other Adj.,Cash from Investing,Minority Interest,Merger/Restructuring Costs,Short Term Debt Issued,Total Liabilities,NI to Common Incl Extra Items,Long-Term Debt Issued,Total Pref. Equity,NI to Common Excl Extra Items,Total Debt Issued,Common Stock,Basic EPS,Short Term Debt Repaid,Retained Earnings,Basic EPS Excl. Extra Items,Long-Term Debt Repaid,Treasury Stock,Weighted Avg. Basic Shares Out.,Total Debt Repaid,Total Common Equity,Diluted EPS,Issuance of Common Stock,Total Equity,Diluted EPS Excl Extra Itmes,Repurchase of Common,Total Liabilities And Equity,Weighted Avg. Diluted Shares Out.,Issuance of Preferred Stock,Normalized Basic EPS,Repurchase of Preferred,Normalized Diluted EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total Dividends Paid,Shares Outstanding on Balance Sheet Date,EBITDA (Incl. Equity Inc. from Affiliates),Cash from Financing,Total Shares Out. On Filing Date,Net Change in Cash,Total Shares Outstanding on BS Date,EBIT,Book Value/Share,EBITDAR,Tangible Book Value,Net Rental Expense,Cash Interest Paid,Tangible Book Value/Share,Normalized Net Income,Cash Taxes Paid,Total Debt,Same Store Sales Growth %,Net Debt Issued,Total Current Debt,Effective Tax Rate,Levered Free Cash Flow,Total Non-Current Debt,Payout Ratio,Unlevered Free Cash Flow,Net Debt,Interest On Long Term Debt,Change in Net Working Capital,Total Capitalization,Total Current Taxes,EBITDA - Capex,Full Time Employees,Total Deferred Taxes
"j2 Global Communications, Inc.",Nasdaq, JCOM,2011,fy2011,1,GV_122172,Bronte Capital,"j2 Global, Inc.",IQ121509,Application Software,NasdaqGS:JCOM,139.359,330.159,114.766,38.513,60.613,19.756,177.872,60.613,0,19.071,269.546,8.968,19.071,117.223,0,0,16.373,-9.509,212.897,0,0,55.849,0,0.847,14.438,135.95,8.664,43.077,0.629,1.893,377.083,136.564,0,651.171,0.552,150.748,24.07,137.116,-6.844,0,22.35,0.004,0,114.766,-3.926,0,0,0,57.798,0,-4.312,0,114.766,-61.102,0,1.932,-76.18,0,0,0,96.796,112.834,0,0,112.834,0,0.554,2.46365,0,472.595,2.46365,0,-112.671,45.79962,0,554.375,2.43,7.232,554.375,2.43,-1.281,651.171,46.38485,0,1.86361,0,1.84009,41701,40908,155.706,-19.174,46.70907,155.706,0.338,46.70907,74.607,(Invalid Formula Name),135.95,11.86868,158.606,177.292,2.9,0.1,3.79567,85.3525,13.5,0,0,0,0,16.3,104.15775,0,16.707,104.15775,-177.872,0,-1.596,554.375,15.528,148.862,600,6.822
St. Joe Company,NYSE, JOE,2011,fy2011,1,GV_012544,Whitney Tilson,The St. Joe Company,IQ188196,Diversified Real Estate Activities,NYSE:JOE,162.391,145.285,-330.279,0,71.472,15.84,162.391,71.472,377.325,10.7,73.813,8.452,15.332,27.756,0,0,0,0,177.723,15.84,0,51.46,0,-20.165,14.946,7.965,0,0,-2.791,-2.802,0,9.1,0,661.291,-395.066,-9.839,16.45,-385.966,-2.426,0,-55.658,0.328,0,-330.308,0,0,0,0,34.082,0,0,53.458,-330.279,-0.04,0,0,-2.138,0.331,-17.447,0,117.399,-330.279,0,0,-330.279,0,890.314,-3.58083,0,-336.873,-3.58083,-0.227,0,92.23536,-0.227,543.561,-3.58083,0.1,543.892,-3.58083,-4.812,661.291,92.23536,0,0.06198,0,0.06198,41698,40908,23.805,0,92.22944,23.712,-9.459,92.22944,-21.436,(Invalid Formula Name),7.965,5.89357,0,543.561,0,8.329,5.89357,5.7165,1.988,53.458,0,-0.227,0,NM,11.2715,53.458,0,13.72213,-108.933,3.921,13.122,597.35,-2.161,21.379,75,-53.497
"Coffee Holding Co., Inc.",Nasdaq, JVA,2011,fy2011,1,GV_160742,GeoInvesting,"Coffee Holding Co., Inc.",IQ1002679,Packaged Foods and Meats,NasdaqCM:JVA,4.24434,146.75517,0.81193,0,138.21028,0.4332,4.24434,138.21028,0,16.02158,8.54489,0,16.41034,7.34515,0,13.47586,0,-7.24174,35.68058,0,-5.28544,3.85333,0,5.21434,1.66176,1.19974,0,0,-0.13908,-0.6031,0.75875,1.07551,0,38.77869,0,-4.05256,12.37941,1.07551,-0.52652,1.82011,0.22952,0,0,0.84598,0,0,0,0,16.06718,0,0,0,0.81193,0,0,0,-0.52652,0.08322,0,128.4561,16.78871,0.81193,0,0,0.81193,128.4561,0.00646,0.14593,-128.94274,6.26833,0.14593,0,-0.27213,5.5638,-128.94274,21.90676,0.14,9.256,21.98998,0.14,0,38.77869,5.8358,0,0.11469,0,0.10935,41302,40847,1.63294,-0.69466,6.37231,1.63294,7.15049,6.37231,2.57141,(Invalid Formula Name),1.19974,3.43781,1.9301,21.14801,0.29717,0.28987,3.31874,0.63814,1.04173,1.82011,0,-0.48664,1.82011,21.3408,-4.89142,0,85.5563,-4.71047,-2.42423,0.28952,5.36699,23.81009,1.05202,1.10642,69,-0.8225
"Kronos Worldwide, Inc.",NYSE, KRO,2011,fy2011,1,GV_157354,Alpha Exposure,"Kronos Worldwide, Inc.",IQ8059421,Commodity Chemicals,NYSE:KRO,82.5,1943.3,321,20.9,1194.9,47.5,103.4,1194.9,0,275.6,748.4,0,299.9,204,0,444.2,0,-48.2,865,0,-183.8,1429.7,0,94.8,485.5,544.5,0,187.6,-25.7,19.4,0,521.8,0,1823.9,-4.7,295.6,186.6,517.1,-68.6,0,196.1,0,2.2,321,0,0,0,0,328,0,0,362.9,321,-65,0,0,-218.1,0,0,0,899.6,321,113.3,0,321,113.3,1.2,2.76963,0,-290.1,2.76963,-288.1,0,115.9,-288.1,924.3,2.76963,0,924.3,2.76963,0,1823.9,115.9,0,2.81385,0,2.81385,41710,40908,592,-66.7,115.9,592,-299.6,115.9021,-222.2,(Invalid Formula Name),544.5,7.97498,605,924.3,13,32.8,7.97498,326.125,104.7,365.1,0,-174.8,2.2,37.923,164.675,362.9,20.7788,185.1125,261.7,33.7,134.1,1289.4,130.7,523.4,2470,65.4
Longtop Financial Technologies Limited,NYSE, LFT (ADR),2011,fy2011,0,GV_178683,Citron Research,Longtop Financial Technologies Limited,IQ31315529,Application Software,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longtop Financial Technologies Limited,NYSE, LFT (ADR),2011,fy2011,0,GV_178683,Bronte Capital,Longtop Financial Technologies Limited,IQ31315529,Application Software,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lihua International, Inc.",Nasdaq, LIWA,2011,fy2011,1,GV_182491,Absaroka Capital,"Lihua International, Inc.",IQ34095854,Electrical Components and Equipment,-,105.63763,637.09344,53.13353,0,561.37977,1.89551,105.63763,561.37977,0,31.08246,75.71367,0.49821,31.57499,9.13612,0,15.50225,0,3.48787,176.5938,0,-19.90542,46.86409,0,-0.24664,39.36079,66.57755,0,0,0.37894,-0.6129,18.90645,70.36846,0,238.28911,0.08878,33.378,6.06626,70.45723,-20.3099,0,17.3237,0,0,53.13353,0,0,0,0,18.65247,0,0,0,53.13353,0,0,0,-20.3099,0,0,0,18.65247,53.13353,0,0,53.13353,0,0.003,1.782,-2.32241,126.78796,1.782,0,-2.1266,29.81687,-2.32241,219.63664,1.77,1.89805,219.63664,1.77,-2.1266,238.28911,30.07613,0,1.47501,0,1.4623,41715,40908,68.47306,0,29.77243,68.47306,-2.55096,29.77243,15.02829,(Invalid Formula Name),66.57755,7.37718,68.86812,200.73019,0.39505,0.14378,6.74215,43.98029,18.05604,0,0,-2.32241,0,24.5875,-1.14323,0,0,-1.05336,-105.63763,0,25.1468,219.63664,17.38884,48.16316,354,-0.06514
"Lihua International, Inc.",Nasdaq, LIWA,2011,fy2011,1,GV_182491,Kerrisdale Capital,"Lihua International, Inc.",IQ34095854,Electrical Components and Equipment,-,105.63763,637.09344,53.13353,0,561.37977,1.89551,105.63763,561.37977,0,31.08246,75.71367,0.49821,31.57499,9.13612,0,15.50225,0,3.48787,176.5938,0,-19.90542,46.86409,0,-0.24664,39.36079,66.57755,0,0,0.37894,-0.6129,18.90645,70.36846,0,238.28911,0.08878,33.378,6.06626,70.45723,-20.3099,0,17.3237,0,0,53.13353,0,0,0,0,18.65247,0,0,0,53.13353,0,0,0,-20.3099,0,0,0,18.65247,53.13353,0,0,53.13353,0,0.003,1.782,-2.32241,126.78796,1.782,0,-2.1266,29.81687,-2.32241,219.63664,1.77,1.89805,219.63664,1.77,-2.1266,238.28911,30.07613,0,1.47501,0,1.4623,41715,40908,68.47306,0,29.77243,68.47306,-2.55096,29.77243,15.02829,(Invalid Formula Name),66.57755,7.37718,68.86812,200.73019,0.39505,0.14378,6.74215,43.98029,18.05604,0,0,-2.32241,0,24.5875,-1.14323,0,0,-1.05336,-105.63763,0,25.1468,219.63664,17.38884,48.16316,354,-0.06514
"L & L Energy, Inc.",Nasdaq, LLEN,2011,fy2011,1,GV_161897,Glaucus Research Group,"L & L Energy, Inc.",IQ5097134,Coal and Consumable Fuels,-,4.91443,137.32458,36.77981,0,95.15897,4.69337,4.91443,95.15897,0,36.36249,42.16561,5.05054,38.94864,17.40751,8.04274,6.63302,0,-12.05041,66.79244,0,2.00153,149.86912,0,-11.11,139.7348,24.7581,0,0,-0.29015,8.31688,3.89073,25.95385,0,227.35233,0,22.45398,3.43946,25.95385,-35.29826,5.80503,2.12163,0,0,23.83222,-0.63999,0,18.56827,1.25915,58.59669,0,0,0,36.77981,0,0,0,-28.07196,29.53013,0,1.07,61.37557,36.77981,0,0,18.21154,1.07,0.03228,1.23569,-7.59853,81.88834,0.61185,-1.83908,-0.39686,29.76471,-9.43761,136.44662,1.21035,11.09824,165.97675,0.6,0,227.35233,30.42239,0,0.35614,0,0.34844,41485,40663,29.45147,0,31.01858,29.45147,2.78063,31.01858,-2.41294,(Invalid Formula Name),24.7581,4.39887,0,132.55589,0,0.19642,4.27344,10.60048,0.77374,5.80503,0,-8.36761,5.80503,8.1746,4.74046,0,0,4.9218,0.89061,0,-15.00233,171.78178,2.12163,-5.84678,1600,0
Logitech International S.A.,Nasdaq, LOGI,2011,fy2011,1,GV_102696,Bronte Capital,Logitech International S.A.,IQ388005,"Technology Hardware, Storage and Peripherals",SWX:LOGN,477.931,2362.886,128.46,0,1526.38,75.991,477.931,1526.38,0,258.294,836.506,34.846,276.104,537.46,0,280.814,156.39,-54.684,1076.386,0,-60.482,344.443,0,37.714,84.16,142.656,0,13.113,2.316,0,621.8,147.653,0,1861.556,0.795,156.742,298.16,148.448,-43.039,0,19.988,2.688,0,128.46,-7.3,0,0,9.087,470.72,0,0,0,128.46,0,0,0,-39.861,0,0,0,656.555,128.46,0,0,128.46,0,33.37,0.72606,0,1514.168,0.72606,0,-264.019,176.928,0,1205.001,0.72,43.001,1205.001,0.72,-0.223,1861.556,178.79,0,0.52159,0,0.51615,41947,40633,218.647,0,179.173,218.647,46.233,179.24997,157.987,(Invalid Formula Name),142.656,6.72535,238.447,583.201,19.8,0.025,3.25496,92.28313,16.619,0,0,0,0,13.4646,62.63213,0,0,62.649,-477.931,0.027,94.309,1205.001,25.145,175.608,11000,-5.157
"McGraw-Hill Companies, Inc.",NYSE, MHP,2011,fy2011,1,GV_007163,Kynikos Associates,"McGraw-Hill Education, Inc.",IQ1067110,Publishing,-,109,2292,162,0,603,67,109,603,38,343,1689,24,343,1315,0,262,0,-67,887,42,13,400,25,-29,126,307,39,16,2,-7,1061,309,0,2442,-47,421,124,262,-18,0,95,1,0,167,-7,0,0,0,546,0,0,0,162,0,0,0,-182,32,-41,0,815,162,0,0,162,0,0,0,0,0,0,0,0,0,0,1595,0,0,1627,0,0,2442,0,0,0,0,0,41205,40908,374,0,0,374,-234,0,0,(Invalid Formula Name),307,0,434,534,60,0,0,188.125,0,0,0,0,0,36.2595,410.875,0,0,410.875,-109,0,52,1627,99,356,5300,-4
"Miller Energy Resources, Inc.",NYSE, MILL,2011,fy2011,1,GV_066228,Street Sweeper,Glacier Oil & Gas Corp.,IQ118629730,Oil and Gas Exploration and Production,-,1.559,22.842,-3.88,0,10.511,12.368,1.559,10.511,-6.91,1.62,12.331,5.126,5.24,14.555,0,1.043,0,-1.796,8.304,10.961,-0.768,507.746,0,7.175,490.686,-15.6,0,0,-0.934,0,0,-17.071,0,509.081,6.91,7.734,7.496,-10.161,-11.315,2,-6.281,0,0,-3.88,0,0,0,0,15.986,0,0,0,-3.88,0,0,0,-11.315,0,0,0,214.339,-3.88,5.5,0,-3.88,5.5,0.004,-0.10744,0,245.725,-0.10744,-3.5,0,36.11229,-3.5,294.742,-0.11,1.266,294.742,-0.11,0,509.081,36.11229,0,-0.29545,0,-0.29545,41470,40663,-3.232,0,39.88025,-3.232,2.145,40.55925,-1.436,(Invalid Formula Name),-15.6,7.39068,0,294.742,0,0.824,7.39068,-10.66938,0,2,0,2,2,NM,0.822,0,0,0.91475,0.441,0.436,-4.48575,296.742,0,-14.547,70,-6.281
Sky-mobi Limited,Nasdaq, MOBI (ADR),2011,fy2011,0,GV_185944,Citron Research,Sky-mobi Limited,IQ116049076,Application Software,-,367.214,675.294,136.31,154.982,464.837,15.601,522.196,464.837,0,81.398,210.457,50.29,81.887,137.138,0,0,52.26,-10.071,606.602,0,0,61.72,0,49.863,43.285,21.059,6.532,0,-1.414,0,0,28.866,0,656.543,101.328,133.285,54.144,130.194,-42.181,0,-5.367,0.105,0,135.561,0,0,0,0,155.003,0,0,0,136.31,-86.872,0,1.032,-97.949,0.301,0,0,155.003,135.278,0,0,135.278,0,0.092,5.94595,0,-246.907,5.94595,0,0,22.75129,0,501.239,0.48445,303.148,501.54,0.48445,0,656.543,27.47463,0.002,0.8259,0,0.68391,41453,40633,36.66,-22.75,32.17373,30.648,261.073,32.17373,292.109,(Invalid Formula Name),21.059,15.57914,44.985,501.239,8.325,0,15.57914,18.79025,0.123,0,0,0,0,NM,68.13175,0,16.6898,70.83988,-522.196,0,-33.968,501.54,5.147,-5.521,534,-10.514
Mesoblast Limited,Australia, MSB-AU,2011,fy2011,0,GV_271607,Martin Shkreli,Mesoblast Limited,IQ20356678,Biotechnology,ASX:MSB,263.22759,19.25782,90.60659,0,3.36677,0.17888,263.22759,3.36677,0,0.07084,15.89105,3.30044,2.10095,11.29297,0,0,11.94777,0.13735,265.49407,0,0,0.97798,0,0.80372,0.60985,-7.3497,0,0,-0.01491,0,475.3262,-8.86996,1.63491,763.25051,101.11146,108.22887,3.03803,92.2415,-0.46155,0,1.63491,0,0,90.60659,3.4483,0,0,0,30.79534,0,0,0,90.60659,0,0,0,4.71472,0,-0.5,0,247.40633,90.60659,0,0,90.60659,0,477.11498,0.41793,0,34.98077,0.41793,0,0,216.79766,0,515.84417,0.3978,126.86372,515.84417,0.3978,0,763.25051,227.76025,0,-0.02557,0,-0.02434,41142,40724,-7.17082,0,280.34526,-8.67616,126.09341,280.34526,231.17826,(Invalid Formula Name),-7.3497,1.84003,-6.85481,40.51797,0.31601,0.0001,0.14453,-5.54372,0,0,0,0,0,1.7724,26.83216,0,0,26.84148,-263.22759,0,-28.41726,515.84417,1.63491,-7.63236,0,0
Neoprobe Corporation,NYSE MKT, NEOP,2011,fy2011,1,GV_025924,Martin Shkreli,"Navidea Biopharmaceuticals, Inc",IQ326954,Biotechnology,AMEX:NAVB,28.644,0.59773,5.61299,0,0,0.17654,28.644,0,0,0.01579,0.59773,3.59209,0.01579,6.84778,-26.17381,0.82155,15.15437,-0.21902,30.04652,0,-0.05329,1.44123,0,-0.53867,0.46327,-21.40442,0.1095,0,0.01243,0,0.08542,-22.34758,0,31.19392,-2.7,-16.01001,0.68175,-25.04758,-0.18383,0,-7.88014,0.001,0,-17.16743,0,0,22.78043,0,3.34847,0,-0.0525,6.45639,5.61299,0,0,0.1,27.15826,0,0,0,10.06217,5.51299,7,0.00001,-17.26743,7,0.0954,0.06091,0,-245.35731,-0.19078,-0.07103,0,90.50933,-0.07103,21.13174,0.06091,7.19837,21.13175,-0.19078,-2.76271,31.19392,90.50933,0,-0.15432,0,-0.15432,41712,40908,-21.22787,-0.1,93.84296,-21.22787,11.07524,93.84296,22.2235,(Invalid Formula Name),-21.40442,0.22518,-21.07387,21.04632,0.154,0.004,0.22427,-13.96724,0,6.45639,0,6.92897,0,NM,-7.96494,6.45639,1.7815,-7.96042,-22.18762,0.01,-1.88504,27.58814,0,-21.4117,32,0
New Energy Systems Group,NYSE MKT, NEWN,2011,fy2011,1,GV_150720,GeoInvesting,New Energy Systems Group,IQ3207419,Electrical Components and Equipment,-,4.52873,51.51382,-17.86498,0,39.77796,2.97899,4.52873,39.77796,21.71188,6.61481,11.73587,0.78854,20.95348,6.83307,-0.29207,1.66152,0,2.54016,28.66941,0,0.35147,0.41412,0,-3.30402,0.20827,4.9028,0,0,0.01769,-3.05248,50.94072,4.89923,0,80.24189,-7.40534,1.84089,2.83789,-2.50612,-0.09788,0.57135,1.26709,0,0,-3.77321,0,0,-14.09178,-4.03345,4.24879,0,0,0,-17.86498,0,0,0,-4.13133,0,0,0,7.01336,-17.86498,0,0,-3.77321,0,0.01457,-1.23847,0,-4.3337,-0.26157,0,0,14.42507,0,73.22853,-1.23847,0.0875,73.22853,-0.26157,0,80.24189,14.42507,0,0.21227,0,0.21227,41001,40908,7.88179,0,14.57173,7.88179,-6.75588,14.55173,-8.53628,(Invalid Formula Name),4.9028,5.02538,8.14139,22.28782,0.2596,0,1.52952,3.06202,4.79856,0.57135,0,0,0.57135,NM,-14.78633,0,0,-14.78633,-3.95738,0,21.52022,73.79988,1.9384,7.78391,214,-0.67132
"Northern Oil and Gas, Inc.",NYSE MKT, NOG,2011,fy2011,1,GV_142337,Bronte Capital,"Northern Oil and Gas, Inc.",IQ30822601,Oil and Gas Exploration and Production,AMEX:NOG,6.27959,145.42402,40.61149,0,13.04363,41.16962,6.27959,13.04363,0,51.41883,132.38039,6.16432,51.41883,13.62489,0,0,0,-29.38518,80.50477,41.16962,0,706.96887,0,2.48667,643.70295,67.25023,0,0,-0.58598,0,0,67.44679,0,725.59392,0,85.14953,110.13329,67.44679,-346.1196,0,26.8353,5.02716,0,40.61149,0,0,0,0,119.6606,0,0,69.9,40.61149,40.22464,0,0,-300.8678,0,0,0,229.02386,40.61149,79.9,0,40.61149,79.9,0.06333,0.65726,0,48.37068,0.65726,-10,0,61.78929,-10,496.57006,0.65,1.51813,496.57006,0.65,-1.08113,725.59392,62.19534,0,0.68223,0,0.67777,41701,40908,108.41985,0,62.11343,108.41985,69.88716,62.11343,-145.83111,(Invalid Formula Name),67.25023,7.99457,108.63285,496.57006,0.213,0.28671,7.99457,42.15425,0,69.9,0,69.9,0,39.7873,-229.7403,69.9,0,-229.80482,63.62041,0.99197,-26.94944,566.47006,0.0023,-237.69975,19,26.833
"Northern Oil and Gas, Inc. ",NYSE MKT, NOG,2011,fy2011,1,GV_142337,Street Sweeper,"Northern Oil and Gas, Inc.",IQ30822601,Oil and Gas Exploration and Production,AMEX:NOG,6.27959,145.42402,40.61149,0,13.04363,41.16962,6.27959,13.04363,0,51.41883,132.38039,6.16432,51.41883,13.62489,0,0,0,-29.38518,80.50477,41.16962,0,706.96887,0,2.48667,643.70295,67.25023,0,0,-0.58598,0,0,67.44679,0,725.59392,0,85.14953,110.13329,67.44679,-346.1196,0,26.8353,5.02716,0,40.61149,0,0,0,0,119.6606,0,0,69.9,40.61149,40.22464,0,0,-300.8678,0,0,0,229.02386,40.61149,79.9,0,40.61149,79.9,0.06333,0.65726,0,48.37068,0.65726,-10,0,61.78929,-10,496.57006,0.65,1.51813,496.57006,0.65,-1.08113,725.59392,62.19534,0,0.68223,0,0.67777,41701,40908,108.41985,0,62.11343,108.41985,69.88716,62.11343,-145.83111,(Invalid Formula Name),67.25023,7.99457,108.63285,496.57006,0.213,0.28671,7.99457,42.15425,0,69.9,0,69.9,0,39.7873,-229.7403,69.9,0,-229.80482,63.62041,0.99197,-26.94944,566.47006,0.0023,-237.69975,19,26.833
Oncothyreon Inc.,Nasdaq, ONTY,2011,fy2011,1,GV_020245,Martin Shkreli,"Cascadian Therapeutics, Inc.",IQ25611,Biotechnology,-,11.609,0.145,-42.656,52.267,0,0.457,63.876,0,0,0.321,0.145,2.342,0.321,6.929,0,0,17.915,-0.203,64.807,0,0,2.981,0,-0.165,1.629,-24.699,0,2.531,-0.631,0,2.131,-42.97,0,71.539,0.314,-21.169,0.459,-42.656,-0.142,0,0,0,1.749,-42.656,0,0,0,0,4.87,0,0,3.089,-42.656,-31.435,0,0,-31.577,0,0,0,38.106,-42.656,4.804,0,-42.656,4.804,353.851,-6.7003,0,-389.911,-6.7003,-0.151,0,6.36628,-0.151,33.433,-6.72,54.188,33.433,-6.72,0,71.539,6.36628,0,-4.21852,0,-4.21852,41711,40908,-24.242,0,7.26885,-24.242,58.841,7.26885,6.095,(Invalid Formula Name),-24.699,4.59949,-23.742,31.302,0.5,0.437,4.30632,-26.85625,0,4.838,0,4.653,1.749,0,-11.49325,3.089,0,-11.24788,-59.038,0.631,-1.532,38.271,0,-24.384,32,0
"Orsus Xelent Technologies, Inc. ",NYSE MKT, ORS,2011,fy2011,1,GV_162644,GeoInvesting,Orsus Xelent Technologies Inc.,IQ22038868,"Technology Hardware, Storage and Peripherals",OTCPK:ORSX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universal Display Corporation,Nasdaq, PANL,2011,fy2011,1,GV_025274,Street Sweeper,Universal Display Corporation,IQ391070,Semiconductors,NasdaqGS:OLED,111.795,61.289,3.155,234.294,36.662,1.5,346.089,36.662,0,10.727,24.627,5.756,10.727,18.94,0,3.843,0,-3.479,362.304,0,-3.841,29.619,0,6.775,10.884,5.687,4.585,0,0.944,0,0.391,2.441,0,373.878,0,16.409,4.776,2.441,-2.624,0,-0.714,0,0,3.155,0,0,0,0,19.517,0,-0.44,0,3.155,-180.725,0,0,-183.789,0,0,0,31.651,3.155,0,0.002,3.155,0,0.461,0.07213,0,-213.871,0.07213,0,0,43.73797,0,342.225,0.07,263.279,342.227,0.07,-4.473,373.878,45.14039,0,0.03488,0,0.0338,41698,40908,7.187,0,46.1133,7.187,258.806,46.14453,91.426,(Invalid Formula Name),5.687,7.4214,0,341.834,0,0,7.41292,1.52563,2,0,0,0,0,NM,-4.79145,0,0,-4.7602,-346.089,0,12.50658,342.227,-0.714,4.563,90,0
"Puda Coal, Inc.",NYSE MKT, PUDA,2011,fy2011,1,GV_156095,GeoInvesting,"Puda Coal, Inc.",IQ23109938,Steel,OTCPK:PUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puda Coal, Inc.",NYSE MKT, PUDA,2011,fy2011,1,GV_156095,Alfred Little,"Puda Coal, Inc.",IQ23109938,Steel,OTCPK:PUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qihoo 360 Technology Co. Ltd.,NYSE, QIHU (ADR),2011,fy2011,0,GV_186717,Citron Research,360 Security Technology Inc.,IQ85076655,Systems Software,SHSE:601360,343.731,167.851,15.603,0,18.918,4.227,343.962,18.918,0.087,16.741,148.933,47.989,19.966,65.89,0,0,64.962,-8.066,374.369,0,0,24.619,0,4.603,16.665,18.232,10.744,15.561,2.541,7.123,12.434,26.627,-0.315,423.958,-1.209,82.303,5.872,25.418,-16.32,0.969,10.874,0,0,14.544,-0.487,0,0,0,46.56,0,-1.457,0,15.603,-14.976,0,1.895,-34.811,0.639,0,0,52.466,13.708,0,0,13.708,0,0.179,0.0995,0,1.39,0.0995,0,0,137.77575,0,370.853,0.09,234.332,371.492,0.09,0,423.958,172.99252,0,0.12848,0,0.10232,41754,40908,22.459,0,0,22.022,233.28,179.02925,283.226,(Invalid Formula Name),18.232,2.07147,26.72,358.419,4.261,0,2.00201,17.70088,3.699,0.969,0,0,0.969,42.7807,59.15988,0,0,59.193,-342.993,0,-13.359,372.461,10.724,6.139,1725,0.15
