Company,Exchange,Ticker,U.S.-listed,gvkey,Short-seller ,Sample year,URL,Announce date,End date,Allegations,Summary,Companyfate,Oneweekret,CampaignRet,CampaignRetVsSP500,CompanyTactics,Marketcap,Duplicate copy of Shortseller (added just to make reading easy),Main activist document(s) of interest,(Part 2 for Column N),Chinese company,Notes,Synopsis Excerpt,summary from original source,Focus,Keywords Combined TOTAL
Bristol-Myers Squibb Company,NYSE, BMY,1,GV_002403,Hayman Capital Management,2015,http://www.activistshorts.com/companies/522/campaigns/703,8/13/2015,,Patent invalid,"Kyle Bass of Hayman Capital Management filed an Inter Partes Review (IPR) petition against Bristol-Myers Squibb Company. The petition challenged the patent on the company's drug, Eliquis apixaban. The IPR process allows fast-tracked challenges against patents.",Alive,0.50%,14%,13.80%,n/a,"104,036",Hayman Capital Management,http://www.scribd.com/doc/275509742/Kyle-Bass-IPR-against-Bristol-Myers,,0,,"On 8-13-2015, an Inter Partes Review (IPR) petition was filed by Kyle Bass of Hayman Capital Management against Bristol-Myers Squibb Company. The petition challenged the patent on the company's drug, Eliquis apixaban.",Patent not appropriate,Product,Intellectual Property ineffective
Bristow Group Inc. ,NYSE,BRS,1,,Richard Pearson,2016,https://www.activistshorts.com/companies/682/campaigns/922,7/22/2016,,Upcoming earnings miss; Other illegal; Industry issues; Over-levered,"Richard Pearson said that Bristow would deliver very outsized losses going forward, and he said that the company could also violate its debt covenants and face default. He also said that Bristow could face outright SEC action for certain offshore tax strategies.",Alive,16.50%,7.60%,6.50%,n/a,453,,http://seekingalpha.com/article/3990570-bristow-group-near-term-catalyst-45-percent-drop,,0,,"On 7-22-2016, Richard Pearson said that Bristow Group Inc. would deliver very outsized losses going forward, and he said that the company could also violate its debt covenants and face default. Pearson said that bankruptcy fears continued to slowly play out at Bristow, and he noted that it had recently suffered a massive impact due to excess unhedged currency exposure to the British pound and the Nigerian naira. He said that Bristow could face outright SEC action for certain offshore tax strategies that Pearson said could have allowed Bristow to underbid on projects, including in its UK search and rescue operations, and that he said had given the company an unsustainable competitive advantage","Bristow is down by 80% since mid-2015 as bankruptcy fears continue to slowly play out. The moderate recovery in oil prices has been unable to help Bristow recover.

Bristow has just suffered a massive impact due to excess unhedged currency exposure to the British Pound (quite bad) and the imploding Nigerian Naira (even worse).

Accelerating resignations from various management and board members. Key replacement director notably has highlighted specific expertise in bankruptcy.

In a best case, BRS delivers very outsized losses going forward. In a worst case, BRS violates debt covenants and faces default.

Recent statements by management are blatantly at odds with previous SEC disclosure. SEC inquiries into the use of offshore tax havens may have a separate impact on the stock.",Financial modeling,debt covenant violation;debt default risk;management turnover
"BroadVision, Inc.",Nasdaq, BVSN,1,GV_063099,Kerrisdale Capital,2012,http://www.activistshorts.com/companies/48/campaigns/52,4/25/2012,4/25/2013,Upcoming earnings miss; Stock promotion,"Kerrisdale said BVSN would miss earnings expectations later that day. After market close, the company reported earnings that sent the stock price up 4.5% the next day, although this was not enough to erase the 19% drop following Kerrisdale's article.",Alive,-24.40%,-71%,-88.90%,N/A,135,Kerrisdale Capital,http://seekingalpha.com/article/525031-broadvision-challenges-loom-ahead,,0,,"On 4-25-2012, Kerrisdale Capital published a report suggesting that the company would miss earnings expectations later that day. Kerrisdale said several stock promoters had been hyping the company's social networking initiative, Clearvale, but Kerrisdale believed Clearvale was unproven.",Clearvale remains unproven and faces substantial competition from larger and well-funded players. The company's legacy products are in decline and unlikely to re-enter a growth mode. These businesses have been suffering rapid decline and there appear to be few expectations of a turnaround. Management makes this relatively clear in both SEC filings and conference calls. ,Financial modeling,stock promotion;lackluster product and sales;Competitive headwinds;Growth unsustainable
"Broadwind Energy, Inc. ",Nasdaq,BWEN,1,,Street Sweeper,2016,https://www.activistshorts.com/companies/689/campaigns/935,8/5/2016,,Industry issues; ,"The Street Sweeper said that Broadwind had been embroiled in seven years of expensive and legal drama, and it noted ""horrible margins, material weaknesses, production issues, declining revenue and operating losses"" at Broadwind.",Alive,-1.10%,-4.80%,-5.40%,n/a,64,,http://thestreetsweeper.org/undersurveillance/Broadwind_Energy__BWEN___Miserable_Margins__Horrific_History_Sweep_Away_Potential,,0,,"On 8-5-2016, The Street Sweeper said that Broadwind Energy had been embroiled in seven years of expensive drama. The Street Sweeper said that the stock had risen and was now precariously positioned for a ""drama-queen swoon"" and that the company was weighed down by terrible gross margins, at 3.95%. The Street Sweeper said that Broadwind was unprofitable at near-peak production, with $12 million cost of production mishaps and that institutional holders had sold out of the stock at 3.6 times the number of new positions established. The Street Sweeper said that Broadwind had been hit with subpoenas, a whistleblower action, an Environmental Protection Agency search, SEC scrutiny, a grand jury investigation and a US Attorney's Office inquiry in the past two years. ","Broadwind has produced more twists and turns and drama lately than a bad soap opera can churn out in decades.

Everything has gone wrong with this company. Broadwind has attracted unwanted attention from the SEC, the Department of Justice and the Environmental Protection Agency - even handed control of the company to an officer who paid dearly to settle SEC charges related to hoodwinking investors. Horrible margins, material weaknesses, production issues, declining revenue and operating losses further plague company operations.

They're sure not canning beans here - but maybe they should. In the meantime, this stock deserves to swoon at least 50%.",Financial modeling,legal headwinds;failure to disclose material information
Brookfield Asset Management Inc.,NYSE, BAM,1,GV_002369,Dialectic Capital,2012,http://www.activistshorts.com/companies/326/campaigns/444,11/21/2012,2/20/2014,Misleading accounting,Dialectic Capital said Brookfield Asset Management was a confusing company that was using misleading accounting measures and had misrepresented the impact of its stake in General Growth Partners had on its earnings.,Alive,1.60%,25%,-10.90%,Buyback/dividend; Public equity offering; CEO resigns or is replaced,"20,947",Dialectic Capital,http://www.valuewalk.com/2012/11/dialectic-presents-the-confusing-case-of-brookfield-asset-management/,,0,,"On 11-21-2012, ValueWalk reported on Dialectic's most recent investor letter. In it, Dialectic said Brookfield Asset Management Inc. was confusing and fascinating, with a network that expanded to nine public equities. Dialectic noted a series of inconsistencies in the company's reported earnings, particularly the impact that its stake in General Growth Properties (GGP) had on its earnings. (ValueWalk had previously reported that Dialectic had a short position on 5-21-2012, but little detail about the position was available at the time.)","One of the inconsistencies that Dialectic noted in BAM’s quarterly earnings report was how Brookfield Asset Management Inc.(NYSE:BAM) (TSE:BAM.A) reported gains worth $1 billion from the acquisition of GGP, when the stock was basically flat after BAM acquired a stake in the company. At another time, BAM has claimed that the GGP stake was worth $12 billion to BAM, when GGP’s total market cap is $16 billion (BAM owns 40 percent of GGP). This is where Dialectic ties the link between BAM’s reluctance to a buyout of GGP by Simon Property Group, Inc. Dialectic suspects that Brookfield Asset Management Inc.(NYSE:BAM) (TSE:BAM.A) booked up its position in General Growth Properties Inc (NYSE:GGP), using some skilled IFRS accounting and are therefore are not accepting an offer below that mark. n the investor letter, Dialectic also tries to comprehend what went into General Growth Properties Inc (NYSE:GGP)’s spin-off of Rouse Properties Inc (NYSE:RSE). Before the IPO, Brookfield Asset Management Inc.(NYSE:BAM) (TSE:BAM.A) owned 37 percent of RSE and later put up a rights offering at $15, which was above the market price. As rights offerings are usually below market price, BAM was able to contribute $170 million out of the total $200 million raised. RSE then transferred $150 million back to Brookfield Asset Management Inc.(NYSE:BAM) (TSE:BAM.A) in a checking account. Dialectic points out the strangeness of the whole process when BAM is not a bank and RSE is borrowing at higher interest rate (LIBOR plus 850 bps), but lending or depositing at a far lower rate (LIBOR plus 100 bps), both from the same party, i.e. Brookfield Asset Management Inc.(NYSE:BAM) (TSE:BAM.A).

Dialectic also thinks that BAM’s episode of profits in their property investments is nearing the end, with interest rates near zero, the investments are going to be of less worth going forward.",Accounting,Accounting misrepresentation;Aggressive accounting;Growth unsustainable
"Burlington Stores, Inc. ",NYSE,BURL,1,,Spruce Point Capital,2016,https://www.activistshorts.com/companies/748/campaigns/1036,11/3/2016,,Misleading accounting,"Spruce Point Capital said that Burlington Stores, Inc. had used aggressive accounting tactics to hide its financial problems. Spruce Point also said the company faced tough competition in a crowded industry.",Alive,-0.80%,20.30%,14.70%,n/a,4796,,http://www.sprucepointcap.com/reports/burl_short_thesis_11-3-2016.pdf,,0,,"On 11-3-2016, Spruce Point Capital said that Burlington Stores, Inc. had touted itself as a growth opportunity but was actually an old school retailer struggling amidst tough competition. Spruce Point said that Burlington did not optimise its store space, the company's inventory had shrunken and that it had little online presence compared to competition.  Spruce Point said that the company was not transparent and had engaged in aggressive accounting tactics to hide financial strains. Spruce Point pointed out that the company had stopped disclosing its turnover, omitted occupancy and underestimated shrinkage.

On 11-7-2016, Burlington issued a press release in response to Spruce Point's short report. The company said that it stood by its financial statements and that it emphatically denied claims made in the report. The company said that the report was ""filled with innuendo and baseless allegations, [and was] based on flawed, inaccurate and misleading analysis.""","Burlington (“BURL” or “the Company”) Is An Old School Retailer Now Being Spun As A Sexy New Growth Story Amidst     An Intensifying and Ultra Competitive Retailing Environment     ? Burlington Stores (formerly Burlington Coat Factory) is an “off-price” discount retailer based in Burlington, NJ that sells men’s and     women’s clothing, home furnishings, and accessories. It competes with the likes of TJX Companies (T.J. Maxx, Marshalls), Ross     Stores, and countless other retailers offering shoppers a discount to the M.S.R.P.     ? In January 2006, Bain Capital privatized Burlington by acquiring control for $45.50 per share, valuing the company at $2.0 billion,     or 7x EBITDAR and 15.6x P/E according to the proxy     ? Under pressure from a series of struggling retail investments (e.g. Toys R’Us, Guitar Center), Bain Capital seized the opportunity     to re-IPO Burlington in 2013. Its IPO prospectus touted various growth opportunities to excite new investors including: a) Improve     merchandising, b) improve the shopping experience for its mostly female customer base, c) refresh existing stores and grow to     1,000 locations, and e) invest in technology + supply chain initiatives to inc. inventory turnover, and improve operating leverage     ? With its share price up 330% since its IPO, Burlington has benefited both from low income shoppers searching for deals, and     management’s aggressive financial and accounting tactics to engineer “beat and raise” quarters. However, in the brutally     competitive retail business fortunes can change fast, and we believe investors are under-appreciating risks being signaled     Burlington Has Been Touting impressive Comparable Store Sales (“CSS”), Gross Margin, and EPS Gains, While Shrinking     Same Store Inventory. We Don’t Think It Can Last. Spruce Point Has Identified Numerous Financial Presentation,     Accounting, And Business Issues That Could Be Signaling A Slowdown In Future Financial Results     ? At IPO, Burlington touted the advantages of its large stores (80k sqft). Now, the story keeps changing; it repeatedly talked down     its optimal store size format (50-60k, now 40-50k). In our opinion, this may create and apples-to-oranges problem for its comp     store base, may allow it to juice its comps by reclassifying modified or relocated stores as new, and changes its unit economics     ? As an indicator of potential strain, recent sales growth rates have rapidly diverged from accounts receivables growth     This type of divergence is a classic red flag. Burlington also bought-in its fragrance category, which allowed it to boost its comps     ? Burlington presents its gross margin, a key performance indicator, in a non-standard way, by excluding store occupancy costs and     depreciation of certain fixed assets. Burlington used to disclose its occupancy costs in SG&A but has repeatedly made changes to     SG&A disclosures, and is now completely obscuring occupancy costs making it hard to evaluate trends     ? Our recent store visits left us with the impression that stores were unoptimized. With comp store inventory declining, existing and     new competitors rapidly entering the discount segment, Burlington may be challenged to sust     ",Strategy,aggressive accounting;borrowed glory
Cabela’s Incorporated,NYSE, CAB,1,GV_264708,Gotham Investing,2014,http://www.activistshorts.com/companies/381/campaigns/513,8/28/2014,8/28/2015,Upcoming earnings miss; Misleading accounting ,"Gotham Investing said Cabela's ""cookie jar accounting"" and under-reserved bank would force the company to miss on earnings in upcoming quarters.",Alive,-2.30%,-28%,-29.30%,n/a,"4,417",Gotham Investing,http://seekingalpha.com/article/2457385-cabelas-cookie-jar-is-empty,,0,,"On 8-28-2014, Gotham Investing said Cabela's Incorporated was using ""cookie jar accounting"" and would miss on upcoming earnings. Gotham said the company's earnings were dominated by its under-reserved bank and would decline ""as a result of increasing provisions.""","80% of Cabela's earnings ""beats"" since 2009 result from cookie jar shenanigans.

Over half of Cabela's earnings growth has come from declining loan loss reserves.

Cabela's cookie jar is not just out... it is in deficit.

Expect 3q14 earnings miss and disappointing results for the foreseeable future.

Price target: $26.29 (~58% downside). This points to a significant problem with the allowance, as indicated by the fact that CAB's net charge-offs over any 12-month period have never been below ~1.65%, let alone 1.2%!",Financial modeling,Accounting misrepresentation;Non-core operations masking growth
Cadiz Inc.,Nasdaq, CDZI,1,GV_012964,Pump Stopper,2015,http://www.activistshorts.com/companies/449/campaigns/608,4/21/2015,,Other overvaluation,"Pump Stopper said Cadiz Inc.'s project had ""already effectively failed with imminent NEPA federal review,"" meaning the project was ""impossible.""",Alive,-7.90%,-58%,-57.00%,n/a,172,Pump Stopper,http://seekingalpha.com/article/3086056-cadiz-strong-sell-on-project-failure-insider-enrichment-and-bankruptcy-price-target-0,,0,,"On 4-21-2015, Pump Stopper said Cadiz Inc.'s project had ""already effectively failed with imminent NEPA federal review,"" meaning the project was ""impossible."" Pump Stopper said there were ""serious"" investor disclosure questions around the company's capital raise with Water Asset Management, exposing the company to possible lawsuits and bankruptcy. Pump Stopper concluded that, even if the project were feasible, the stock and project economics were overstated. Pump Stopper noted that insiders had collected tens of millions of dollars while significantly diluting the stock and losing the company hundreds of millions of dollars. Pump Stopper gave the stock a price target of $0.","Public BLM FOIA documents show Cadiz project already effectively failed with imminent NEPA federal review. Due to hidden appropriations dynamic and balance sheet, this means the project is impossible.

Even more concerning, serious CDZI investor disclosure questions arise with recent Water Asset Management capital raise, if lawsuits ensue, instant bankruptcy is a real possibility.

Governing authority MWD has definitively said they’ve “already made the determination” and “don’t see how it can be built” while also indicating subsidy impossibility.

Even ignoring impossible hurdles above, CDZI stock is over valued and project economics overstated. With cash burn, minimal revenue, project unviability and $106m of debt maturing soon, bankruptcy is inevitable.

Insiders have collected >$47m in compensation while losing -$359m and diluting shareholders by 1,600%. Strange related party transactions abound with cash and stock being granted to insider companies.",Legal,Regulatory headwinds;Failure to disclose material adverse information;strategy issues;Managerial self-dealing;Accounting misrepresentation;cash shortage;lackluster product and sales;Related party transactions
Cadiz Inc.,Nasdaq, CDZI,1,GV_012964,GeoInvesting,2015,http://www.activistshorts.com/companies/449/campaigns/745,10/8/2015,,Over-levered,"GeoInvesting said that Cadiz's main business project was doomed for imminent failure, and GeoInvesting also said that Cadiz faced an insolvent balance sheet and a massive liquidity crunch.",Alive,-19.50%,5%,1.90%,n/a,71,GeoInvesting,http://geoinvesting.com/we-think-cadizs-equity-is-100-worthless-and-shareholders-will-drown-under-its-water-project/,,0,,"On 10-8-2015, GeoInvesting published a report stating that Cadiz Inc. had no viable projects in its pipeline and that its equity was 100% worthless. GeoInvesting said that Cadiz's main business project, a water relocation project in the Mojave Desert, was doomed for imminent failure, and GeoInvesting added that a 10-5-2015 letter from the California State Office of the Bureau of Land Management validated prior reports on the poor prospects of the water project. GeoInvesting further explained that Cadiz would not be able to package its water project via a ""railroad purpose"" loophole to avoid a likely unsuccessful federal review, and GeoInvesting said the likelihood of appealing this regulatory decision was very small. GeoInvesting said that Cadiz also faced an insolvent balance sheet and a massive liquidity crunch, as well as had posted a loss for the prior 42 quarters. GeoInvesting said that without steady profits, the company's shares were headed to $0 per share via bankruptcy, toxic debt, dilution or other means. On 10-26-2015, GeoInvesting said that equity in Cadiz was still 100% worthless and that the water project appeared to be subject to a federal review, which GeoInvesting said had an almost zero chance of approval. GeoInvesting added that in the interim, Cadiz was burning cash with major debt due early. GeoInvesting also said that even if the project was approved, Cadiz would have to pay a $5 million fee to the Metropolitan Water District of Southern California to have the water project reconsidered with no guarantee of approval. GeoInvesting also noted that a 10-13-2015 meeting of the Metropolitan Water Department confirmed the department was ""not pursing any negotiations or conversations at all."" On 11-6-2015, GeoInvesting said that major shareholders had decreased their stakes in Cadiz, including Odey Asset Management.
Later that day, GeoInvesting commented on Cadiz's earlier announcement of debt refinancing and said that the company was selling equity to pay down debt. GeoInvesting also said that it was unlikely that the company would be able to make a $9 million payment to its lender by expanding agricultural operations, as GeoInvesting said that the agricultural segment only generated slightly over $200K in the prior quarter. GeoInvesting added that after making its $9M payment, Cadiz would still have more than $100M in total debt obligations, which GeoInvesting said would require the issuance of about 26 million shares. GeoInvesting reiterated its $0 price target.

On 1-5-2016, GeoInvesting noted that a recent 8-K from Cadiz indicated that the company leased part of its farmable land for a one-time payment of $12M, with the remaining land an option for $43M. GeoInvesting said that cash raised had to be used to pay back secured lenders, which GeoInvesting said was the only way lenders and the company's large shareholders could avoid default, but GeoInvesting added that a conservative estimate on the sale of the remaining 30,000 acres of property would still put the company well short of being able to pay off their entire debt obligation. It reiterated that Cadiz was worth $0 and said that the company’s remaining sole project was still seeing hang-ups.

On 1-22-2016, in its December newsletter, GeoInvesting said that new information it had learned since the publication of its earlier articles was consistent with its earlier conclusions about Cadiz.","A letter on October 5th from the California State Office of the Bureau of Land Management continues to paint a bleak picture for CDZI’s focus – its ongoing “water project”.
This reconciles with, and further validates, past critical articles suggesting that the project is doomed for eventual failure and, as such, the company may be as well.
On top of its main business operation looking like an impossibility, CDZI faces a major liquidity crisis and has enormous debt coming due.
As it stands, CDZI’s balance sheet is insolvent and the company’s equity is worth $0 dollars on paper with seemingly no future road toward profitability or cash generation.
Without steady profits, we value CDZI at what it’s worth on paper and believe it’s is on its way to $0, be it from bankruptcy, eventual dilution or other means.",Product,Product ineffective;Product not as valuable as perceived;Debt default risk;Cash shortage;lackluster product and sales;Regulatory headwinds;Additional Equity offerings to fund company;insider selling;Strategy issues;lackluster product and sales
Cadiz Inc. ,Nasdaq,CDZI,1,,Cable Car Capital,2016,https://www.activistshorts.com/companies/449/campaigns/983,9/12/2016,11/28/2016,Over-levered,Cable Car said that Cadiz's water project faced continuing roadblocks and that the company faced another liquidity crunch in 2017.,Alive,-1%,47.30%,44.90%,n/a,127,,http://www.cablecarcapital.com/Cable_Car_Q2_2016.pdf,,0,"MS: I do not think this should be included. Just one sentence in a newsletter, stating that the investor had been ""mistaken"" about Cadiz in the past. Not clear what the event date should be, if any. ","On 9-12-2016, in its Q2 2016 letter to investors, Cable Car Capital said that a few partial legal victories regarding Cadiz Inc.'s water project had prompted investor optimism that the project would come to fruition, despite what Cable Car said were continuing roadblocks. Cable Car added that Cadiz had managed to insert a rider into an appropriations bill that would reverse an agency decision against the company's project, but Cable Car said that Senator Diane Feinstein staunchly opposed the language and that the bill was highly unlikely to become law. It said that Cadiz faced another liquidity crunch in 2017, and Cable Car said that it remained short.","I was also mistaken on the timing of Cadiz (CDZI), a long-running, promoted, and in my view
completely harebrained scheme to pump water from a desert aquifer underneath a national monument to
communities in Southern California. The project has been blocked at multiple levels of government due to
environmental concerns, but after nearly two decades of lobbying, the proponents have achieved a few partial
legal victories. That has prompted investor optimism that the project will come to fruition despite continuing
roadblocks. Most recently, CDZI managed to insert a rider into an appropriations bill that would reverse an
agency decision against the project, but the language is staunchly opposed by Senator Diane Feinstein and is
highly unlikely to become law. Congressional schedules make it probable that the bill will not even be
considered during the current session, and CDZI faces another liquidity crunch in 2017. When CDZI ran out
of cash early this year, I misjudged the willingness of its financial backers to continue pursuing the project
without wiping out equity holders. They may not be so charitable next time. CDZI currently trades 30%
above the effective price of a dilutive convertible offering over the summer, and Cable Car remains short",Other information,legal headwinds;regulatory headwinds
Caesarstone Sdot-Yam Ltd.,Nasdaq, CSTE,1,GV_170758,Spruce Point Capital,2015,http://www.activistshorts.com/companies/518/campaigns/698,8/19/2015,,Product ineffective,"Spruce Point Capital said Caesarstone Sdot-Yam Ltd. faced competition from companies that made similar, but cheaper products. It also noted that the company's raw material costs had risen 20%, while its ""premium"" countertops contained less quartz than advertised.",Alive,-18.70%,-17%,-14.70%,n/a,"1,713",Spruce Point Capital,http://www.sprucepointcap.com/reports/cste_shortresearch_thesis_8-19-2015.pdf,,0,,"On 8-19-2015, Spruce Point Capital said quartz countertop maker Caesarstone Sdot-Yam Ltd. faced rising competition from Chinese and European companies that made similar products up to 25% cheaper. Spruce Point also said the price of the raw material used to make Caesarstone's countertops had risen 20% in 2014 according to confidential supply contracts obtained through the FOIA, but the company had quoted only a 4% increase in SEC filings. Spruce Point said its tests of the company's countertops showed they contained less quartz than advertised, even though the company called its products ""premium."" Further, Spruce Point questioned the company's margins that were higher than peers and its claims that it had grown its U.S. market share. Spruce Point estimated 40-75% downside. On 10-6-2015, Spruce Point published a 41-page follow-up report, highlighting potential accounting issues related to capital expenditures at Caesarstone. In particular, the report said that Caesarstone's U.S. facility was vastly more expensive than peer manufacturing facilities and was over budget, with the cost of the project amounting to about 10% of the company's market cap. Spruce Point also questioned the company's management history at Tefron, which Spruce Point said was a formerly NYSE listed public company that failed under the leadership of Caesarstone's current CEO. The report announced a downgraded price target of about $15.84 and estimated 33-76% downside.","SEC FOIA Request For CSTE’s Quartz Contracts Show Substantial Cost Pressure. Our Independent Lab Tests Show CSTE’s Samples May Contain Less Quartz Than AdvertisedDependent on Positioning itself as “Premium,” Competition Rising Fast; Questionable Market Share Gains; Margins May Be Significantly Overstated. Unquantifiable Product Liability for Silicosis-Related Deaths: CSTE is a party to a growing number of lawsuits
related to death and injury as it relates to injuries suffered by workers and fabricators of its products in Israel. Two
recent inspection reports revealed audit deficiencies including failure to perform sufficient procedures to test
revenue and test the existence of inventory. Upon closer inspection, we find CSTE has abnormal days sales
outstanding, payables, and inventory turnover ratios relative to peers
.Cracks in the Story, Massive Overvaluation, Majority Owner Liquidating.",Strategy,Competitive headwinds;Higher input costs;Accounting misrepresentation;Product not as valuable as perceived;Growth overstated;Natural resources value overstated;Ineffective management/staff;Legal Headwinds;Auditor distancing / switching / weakness;insider selling;Growth unsustainable
California Resources Corporation,NYSE, CRC,1,GV_021431,BlueMountain Capital Management,2015,http://www.activistshorts.com/companies/495/campaigns/671,6/25/2015,,Over-levered,"BlueMountain Capital said California Resources Corporation's stock was ""worthless."" It said the value of the company's run-off wells did not cover its debt and its drilling inventory was ""sparse, high cost,"" and added little value. It predicted a debt restructuring.",Alive,-24.00%,-72%,-70.00%,n/a,"2,783",BlueMountain Capital Management,http://www.bloomberg.com/news/articles/2015-06-25/california-resources-shrs-worthless-bluemountain-capital,,0,,"On 6-25-2015 at 3:55 p.m. EDT, Bloomberg reported that BlueMountain Capital said in a new report that the stock of California Resources Corporation was ""worthless."" BlueMountain said the value of the company's run-off wells did not cover its debt and its drilling inventory was ""sparse, high cost,"" and added little value. It predicted a debt restructuring. The full 45-page BlueMountain report was posted for Bloomberg terminal subscribers."," the stock is worthless and the company’s debt will have to be restructured. The company’s oil fields have high overhead costs and shrinking crude output that do not “come close to covering its debt,”California Resources’ portfolio of undrilled reserves is of “little incremental value” and can’t be relied upon to rescue the company’s finances, according to the report.",Financial modeling,Product not as valuable as perceived;Capital structure;Cash shortage;Growth unsustainable
Callidus Capital Corporation,Toronto, CBL-CA,0,GV_020340,West Face Capital,2015,http://www.activistshorts.com/companies/456/campaigns/617,3/30/2015,,Misleading accounting,West Face Capital said Callidus Capital Corporation was misleading investors on the quality of its loan portfolio,Alive,2.80%,-50%,-52.20%,Buyback/dividend; Lawsuit ,691,West Face Capital,http://www.bnn.ca/News/2015/3/30/EXCLUSIVE-Greg-Boland-vs-Newton-Glassman.aspx,,0,,"On 3-30-2015, West Face Capital said that Callidus Capital Corporation's loan portfolio quality was weak. In a 59-page presentation, West Face Capital said Callidus had high portfolio concentration, limited disclosure on borrows, an unpredictable earnings stream, increasing leverage against its loan book, loans against illiquid collateral, a complicated portfolio to track, a troublesome underwriting record, and potential conflicts of interest with its largest shareholder. West Face said that if the stock traded at multiples similar to other business development companies, it would see a share price decline of 33%. The presentation was originally only distributed privately but became public as a result of a civil dispute between Catalyst Capital Group, the parent company of Callidus, and West Face over an employee who left Callidus for West Face. West Face would not confirm if it held a short position in the stock. On 10-2-2015, West Face announced that it was aware of a proposal from Newton Glassman, the executive chairman and CEO of Callidus Capital and the CEO of Catalyst Capital, to have a public debate about Callidus' prospects. West Face said that it was willing to participate in such a debate but noted that it had no interest in the success or otherwise of Callidus. West Face also said that it would be inadvisable for West Face to participate in such a debate while Glassman's litigation against West Face continued."," West Face alleges the quality of the Callidus’ loan portfolio is weak. Much of this is masked, says West Face, by limited disclosure on the part of Callidus or companies that Callidus lends to. Lastly, West Face says the portfolio is not well diversified meaning a few bad loans could have a big impact. ",Strategy,Product ineffective;Product not as valuable as perceived;Capital structure;Strategy issues;Growth unsustainable;Corporate governance problems;Failure to disclose material adverse information;Debt default risk
"Cal-Maine Foods, Inc. ",Nasdaq,CALM,1,,Newbrook Capital Advisors,2016,https://www.activistshorts.com/companies/701/campaigns/956,2/10/2016,,Other ovevaluation,Newbrook said that it was short Cal-Maine.,Alive,1%,-14.80%,-33.60%,n/a,2355,,http://www.benzinga.com/news/16/02/6241009/cal-maine-foods-shares-selling-off-traders-attributing-move-to-short-sell-comment,,0,,,,Financial modeling,0
Camelot Information Systems Inc.,NYSE, CIS (ADR),0,GV_185166,Spruce Point Capital,2011,http://www.activistshorts.com/companies/74/campaigns/93,8/15/2011,8/15/2012,Accounting fraud,"Spruce Point said CIS may be exaggerating its financials. Spruce Point noted unusually high revenue per employee, an inconsistent cost structure, and that only 12 employees were on LinkedIn.",Acquired,-35.70%,-76%,-97.70%,Conference call,0,Spruce Point Capital,http://seekingalpha.com/article/287195-extremely-cautious-on-camelot-information-systems,,1,,,,,Rejected - Chinese Company
Canadian Pacific Railway Limited,NYSE, CP,1,GV_002698,Infitialis,2013,http://www.activistshorts.com/companies/139/campaigns/183,4/2/2013,4/2/2014,Other overvaluation,"Infitialis questioned the feasibility of Canadian Pacific's plan to improve operational efficiency and expressed concerns over the company's governance structure, following a proxy battle with Pershing Square Capital.",Alive,-4.80%,22%,-1.70%,Buyback/dividend,"22,156",Infitialis,http://seekingalpha.com/article/1314411-canadian-pacific-railway-off-the-tracks-after-ackman,,0,,"On 4-2-2013 Infitialis published a report on Seeking Alpha outlining its rationale for having shorted Canadian Pacific Railway Limited. Infitialis highlighted flaws in Canadian Pacific's ambitious ""turn-around"" plan to increase operational efficiency, which Infitialis believed to be infeasible. The report also pointed to poor governance structure following a recent proxy battle initiated by Pershing Square Capital Management. Pershing Square had removed the prior C-suite management of Canadian Pacific and had also replaced several board members. Infitialis' report questioned the credentials of the newly installed management and also suggested that Pershing Square might be forced to liquidate its Canadian Pacific holdings in order to meet investor redemptions and reduce its portfolio risk exposure.","share price has recently spurted ahead of its comparables in an unsustainable fashion. 1) an irrational market assumption regarding the timing and feasibility of the railroad operational improvement plan, 2) sub-optimal corporate governance oversight, and 3) impending Pershing Square liquidation of CP common stock following the implosion of their recent J.C. Penney Company, Inc.(NYSE:JCP) investment and limited partner redemptions following their bolloxing of the Herbalife situation coupled with a purported SEC investigation into Pershing Square's trading activity.",Strategy,Strategy issues;Corporate governance problems;Debt default risk;Ineffective management/staff;Recent rally;Operational inefficiency;Capital structure
CARBO Ceramics Inc.,NYSE, CRR,1,GV_062686,Forensic Research Analyst,2015,http://www.activistshorts.com/companies/505/campaigns/683,7/29/2015,,Industry issues,Forensic Research Analyst said CARBO Ceramics Inc.'s dependence on ceramic proppant was not sustainable due to the secular shift toward sand for oil well completions. It noted that only three material consumers of ceramic proppant remained in the Bakken and the industry was at overcapacity.,Alive,-8.50%,-54%,-52.30%,n/a,745,Forensic Research Analyst,http://seekingalpha.com/article/3368915-ceramic-proppant-is-going-to-zero,,0,,"On 7-29-2015, Forensic Research Analyst said CARBO Ceramics Inc.'s dependence on ceramic proppant was not sustainable due to the secular shift toward sand for oil well completions. Forensic Research Analyst noted that only three significant consumers of ceramic proppant remained in the Bakken market in North Dakota and, given the flood of supply from China and Brazil, the industry was at overcapacity. Forensic Research Analyst predicted that CARBO was at high risk of extinction soon.","An analysis of FracFocus indicates that there has been a secular, rather than cyclical, shift away from ceramic proppant towards sand for oil well completions.

Only three material consumers of ceramic proppant remain in the industry today. Industry overcapacity is thus overwhelming. Chinese and Brazilian proppant has flooded the Bakken.

Given the secular shift, we believe that domestic ceramic proppant producers like Carbo Ceramics no longer have sustainable business models under any oil price environment.",Industry,Higher input costs;business model pressure;Growth unsustainable
