Primary.Industry,count,Oneweekret,CampaignRet,Total.Revenues,Net.Income
Health Care Services,15,1387.947085,0.017354,750.6589827,1.857308667
Internet and Direct Marketing Retail,15,9905.669933,1883.102467,3317.421467,2.052186
Electronic Equipment and Instruments,13,175.7547177,32.10600769,61.32116923,-0.291598462
Systems Software,13,4473.560308,809.1222308,2156.772538,-16.12600615
Thrifts and Mortgage Finance,13,-2639.858385,0,-3117.183923,-0.83921
Communications Equipment,12,208.1316408,38.28126583,78.259165,0.110066667
Property and Casualty Insurance,12,408.8269167,0,171.1868333,0.856069167
Restaurants,12,506.126955,0,259.5572667,1.767191667
Advertising,11,292.1115936,10.803,102.5498573,0.826150909
Diversified Metals and Mining,11,475.5590727,2.813,323.8581718,0.093475455
Education Services,11,394.2565464,12.53909091,97.15274,1.730262727
Internet Services and Infrastructure,11,329.1242109,44.35662273,17.72001182,-0.734058182
Asset Management and Custody Banks,10,906.074674,5.2967,641.107079,1.23964
Construction and Engineering,10,281.0945,0,40.4356,1.560707
Electronic Manufacturing Services,10,25.1977,11.5896,-8.2417,-1.641785
Regional Banks,10,36702.0473,0,12294.0189,17.532057
Specialty Chemicals,10,901.9434,3.0811,765.4827,-0.218866
Specialty Stores,10,870.0343,0.6757,217.9876,2.212899
Steel,10,1106.695134,0,853.413881,2.202209
,,,,,
Primary.Industry,count,Unlevered.Free.Cash.Flow,Marketcap,,
Biotechnology,101,420.1573943,5427.158416,,
Application Software,59,52.45257847,2050.305085,,
Pharmaceuticals,47,807.8376798,14116.29787,,
Semiconductors,28,304.97232,10491.71429,,
Electrical Components and Equipment,27,2210.625416,1927.777778,,
Packaged Foods and Meats,27,60.45050185,2504.148148,,
Health Care Equipment,23,-97.76100043,4360.26087,,
Oil and Gas Exploration and Production,23,-128.6217261,3525,,
Personal Products,19,140.8031711,1797.789474,,
Interactive Media and Services,17,475.0049806,2869.235294,,
"Technology Hardware, Storage and Peripherals",17,598.7921924,8372,,
Coal and Consumable Fuels,16,-8.26690875,278.375,,
Movies and Entertainment,16,332.4572719,4920.5625,,
Health Care Services,15,689.4143487,6904.733333,,
Internet and Direct Marketing Retail,15,5544.203357,30578.2,,
Electronic Equipment and Instruments,13,24.30292692,1119.538462,,
Systems Software,13,1892.413298,20511.61538,,
Thrifts and Mortgage Finance,13,164.4567215,1386.923077,,
Communications Equipment,12,0.19072,1142.916667,,
Property and Casualty Insurance,12,100.2494383,4805.166667,,
Restaurants,12,116.1538942,5784.416667,,
Advertising,11,82.66343909,1761.545455,,
Diversified Metals and Mining,11,1050.569612,3695.818182,,
Education Services,11,83.68921364,930.4545455,,
Internet Services and Infrastructure,11,174.1457682,1824.636364,,
Asset Management and Custody Banks,10,595.577873,4676.2,,
Construction and Engineering,10,273.77245,3332.2,,
Electronic Manufacturing Services,10,-2.524771,186.8,,
Regional Banks,10,0,1679.2,,
Specialty Chemicals,10,143.799589,1690,,
Specialty Stores,10,66.57825,4683.8,,
Steel,10,-560.335479,3940.6,,
